,Date of Birth,Information Source,Latitude,Longitude,Name,Place of Birth,Segment,Time Zone,Time of Birth
929,"Tuesday, April 20, 1915",Web,34 N 0,118 W 29,Monique De La Bruchollerie,Paris,musician,0.0,06:35:00
930,"Friday, April 09, 1954",Internet,18 N 58,72 E 50,Lori Black,"118 W 29, 34 N 0",musician,-8.0,18:42:59
931,"Sunday, April 08, 1979",Unknown,22 N 30,88 E 20,Amit Trivedi,Mumbai,musician,5.5,12:00:00
932,"Saturday, April 04, 1953",Unknown,34 N 3,118 W 14,Kumar Bose,Calcutta,musician,5.5,12:00:00
933,"Friday, April 03, 1998",Internet,31 N 34,74 E 20,Paris Jackson,"118 W 14, 34 N 3",musician,-8.0,06:25:59
934,"Tuesday, April 02, 1901",Kundli Sangraha (Tendulkar),34 N 36,98 W 23,Bade Ghulam Ali Khan,Kasur,musician,5.5,09:02:40
935,"Thursday, April 02, 1942",Internet,50 N 58,10 E 18,Leon Russell,"98 W 23, 34 N 36",musician,-6.0,01:21:59
936,"Saturday, March 31, 1685",Kundli Sangraha (Tendulkar),51 N 29,0 E 10,Johann Sebastian Bach,Eisenach,musician,2.0,10:56:47
937,"Friday, March 25, 1960",Internet,42 N 21,71 W 9,Steve Norman,"0 E 10, 51 N 29",musician,0.0,15:00:00
938,"Sunday, March 23, 1975",Internet,40 N 38,73 W 56,Elizabeth A. Kelly,"71 W 9, 42 N 21",musician,-5.0,03:12:00
939,"Monday, March 21, 1949",Web,25 N 34,84 E 40,Eddie Money,Brooklyn,musician,-5.0,12:25:00
940,"Tuesday, March 21, 1916",Kundli Sangraha (Tendulkar),32 N 22,86 W 18,Bismillah Khan,Dumrao (Ara),musician,5.5,10:00:00
941,"Monday, March 17, 1919",Internet,40 N 46,73 W 59,Nat King Cole,"86 W 18, 32 N 22",musician,-6.0,03:00:00
942,"Monday, March 17, 1930",Internet,41 N 51,87 W 39,Paul Horn,"73 W 59, 40 N 46",musician,-5.0,16:00:00
943,"Friday, March 17, 1967",Web,50 N 35,3 E 24,Billy Corgan,Chicago,musician,-6.0,17:41:00
944,"Tuesday, March 12, 1907",Internet,50 N 27,30 E 30,Paul Lambert,"3 E 24, 50 N 35",musician,0.0,23:30:00
945,"Wednesday, March 12, 1890",Kundli Sangraha (Tendulkar),55 N 53,4 W 15,Vaslav Nijinsky,Kiev,musician,3.0,21:52:00
946,"Wednesday, November 24, 1943",Internet,40 N 46,73 W 59,Robin Williamson,"4 W 15, 55 N 53",musician,0.0,14:50:00
947,"Saturday, March 11, 1950",Web,48 N 13,16 E 19,Bobby Mcferrin,Manhattan NY,musician,-5.0,23:19:00
948,"Tuesday, January 31, 1797",Internet,52 N 21,4 E 54,Franz Schubert,"16 E 19, 48 N 13",musician,1.0,13:30:00
949,"Wednesday, January 26, 1955",Internet,18 N 58,72 E 50,Eddie Van Halen,"4 E 54, 52 N 21",musician,1.0,01:05:00
950,"Friday, March 09, 1951",Kundli Sangraha (Tendulkar),21 N 17,157 W 50,Zakir Hussain Actor,Mumbai,musician,5.5,11:00:00
951,"Tuesday, March 05, 1889",Internet,45 N 27,12 E 20,David Bray,"157 W 50, 21 N 17",musician,-10.5,02:00:00
952,"Friday, March 04, 1678",Unknown,40 N 29,74 W 15,Antonio Vivaldi,Venice,musician,1.0,12:00:00
953,"Friday, March 02, 1962",Internet,41 N 18,72 W 54,Jon Bon Jovi,"74 W 15, 40 N 29",musician,-5.0,20:44:59
954,"Thursday, March 02, 1950",Web,40 N 43,95 W 1,Karen Carpenter,New Haven CT,musician,-5.0,11:45:00
955,"Tuesday, March 01, 1904",Internet,43 N 49,115 W 50,Glenn Miller,"95 W 1, 40 N 43",musician,-6.0,11:30:00
956,"Monday, October 14, 1935",Unknown,41 N 53,12 E 28,Le Monte Young,Idaho,musician,-5.0,12:00:00
957,"Saturday, February 26, 1977",Internet,55 N 53,4 W 15,Roma Syria,"12 E 28, 41 N 53",musician,1.0,02:25:00
958,"Tuesday, November 24, 1942",Internet,53 N 25,3 W 0,Billy Connolly,"4 W 15, 55 N 53",musician,0.0,17:00:00
959,"Wednesday, February 24, 1943",Web,47 N 48,13 E 4,George Harrison,"3 W 0, 53 N 25",musician,1.0,23:42:00
960,"Tuesday, January 27, 1756",Kundli Sangraha (Tendulkar),44 N 39,10 E 55,Wolfgang Amadeus Mozart,Salzburg,musician,1.0,20:07:44
961,"Saturday, October 12, 1935",Web,46 N 59,123 W 49,Luciano Pavarotti,Modena,musician,1.0,01:40:00
962,"Monday, February 20, 1967",Web,49 N 42,113 W 25,Kurt Cobain,Aberdeen,musician,-8.0,19:20:00
963,"Sunday, November 07, 1943",Internet,35 N 42,139 E 46,Joni Mitchell,"113 W 25, 49 N 42",musician,-7.0,22:00:00
964,"Saturday, February 18, 1933",Web,31 N 19,75 E 35,Yoko Ono,Tokyo,musician,9.0,20:30:00
965,"Saturday, February 16, 1924",Kundli Sangraha (Tendulkar),15 N 25,75 E 38,Khayyam,Jalandhar *,musician,5.5,00:27:44
966,"Monday, February 14, 1921",Kundli Sangraha (Tendulkar),51 N 20,0 W 34,Bhimsen Joshi,Ron,musician,5.5,01:27:27
967,"Monday, February 13, 1950",Web,41 N 14,80 W 48,Peter Gabriel,Woking,musician,0.0,16:30:00
968,"Tuesday, January 14, 1969",Internet,27 N 13,77 E 58,David Grohl,"80 W 48, 41 N 14",musician,-5.0,07:33:00
969,"Tuesday, February 08, 1881",Kundli Sangraha (Tendulkar),36 N 9,95 W 59,Faiyaz Khan,Sikandra,musician,5.5,12:18:07
970,"Wednesday, February 07, 1962",Internet,18 N 26,77 W 7,Garth Brooks,"95 W 59, 36 N 9",musician,-6.0,13:07:00
971,"Tuesday, February 06, 1945",Web,51 N 30,0 W 10,Bob Marley,"77 W 7, 18 N 26",musician,-5.0,02:29:59
972,"Wednesday, January 25, 1882",Dirty Data,41 N 52,87 W 39,Virginia Woolf,London,musician,0.0,12:15:00
973,"Friday, June 02, 1961",Internet,41 N 10,73 W 12,Phil Henderson,"87 W 39, 41 N 52",musician,-6.0,11:15:00
974,"Friday, July 08, 1949",Internet,11 N 21,77 E 43,Glenn Perry,"73 W 12, 41 N 10",musician,-5.0,01:31:00
975,"Thursday, December 22, 1887",Unknown,44 N 59,93 W 15,Srinivasa Ramanujan,"Erode, Tamil Nadu",musician,5.5,16:25:00
976,"Friday, November 03, 1950",Unknown,48 N 52,2 E 20,Bob Bridges,"93 W 15, 44 N 59",musician,-6.0,08:00:00
977,"Friday, November 03, 1905",Unknown,51 N 38,3 W 56,Arthur Young,"2 E 20, 48 N 52",literature,0.0,10:23:00
978,"Tuesday, October 27, 1914",Internet,42 N 22,41 W 4,Dylan Thomas,"3 W 56, 51 N 38",literature,0.0,20:55:59
979,"Thursday, October 27, 1932",Web,49 N 46,4 E 43,Sylvia Plath,Boston,literature,-5.0,14:10:00
980,"Friday, October 20, 1854",Web,33 N 53,118 W 12,Arthur Rimbaud,Charleville,literature,2.0,06:00:00
981,"Saturday, October 13, 1956",Unknown,52 N 42,1 W 48,Chris Carter,"118 W 12, 33 N 53",literature,-8.0,21:51:00
982,"Sunday, September 29, 1709",Unknown,25 N 46,80 W 7,Samuel Johnson,"1 W 48, 52 N 42",literature,0.0,15:52:59
983,"Tuesday, September 26, 1950",Internet,52 N 57,1 E 10,Tracy Marks,"80 W 7, 25 N 46",literature,-5.0,12:35:59
984,"Friday, September 11, 1885",The Times Select Horoscopes,32 N 10,72 E 40,D. H. Lawrence,Eastwood,literature,-5.0,09:45:00
985,"Friday, November 20, 1936",Unknown,43 N 14,90 W 51,Hamid Gul,Sargodha,literature,5.0,12:00:00
986,"Thursday, September 09, 1920",Internet,53 N 29,2 W 33,Ben Logan,"90 W 51, 43 N 14",literature,-6.0,17:00:00
987,"Sunday, September 09, 1900",Internet,34 N 0,118 W 15,James Hilton,"2 W 33, 53 N 29",literature,0.0,02:10:00
988,"Monday, September 29, 1930",Unknown,34 N 3,118 W 15,Naura Hayden,Los angeles,literature,-5.0,12:00:00
989,"Thursday, September 05, 1912",Internet,22 N 47,86 E 12,John Cage,"118 W 15, 34 N 3",literature,-8.0,05:00:00
990,"Friday, March 27, 1953",Unknown,15 N 0,76 E 18,Ranjit Sinha,Jamshedpur,literature,5.5,12:00:00
991,"Sunday, December 03, 1950",Unknown,11 N 21,77 E 43,H. L. Dattu,"Handyala, Karnataka",literature,5.5,12:00:00
992,"Wednesday, April 27, 1949",Unknown,40 N 42,74 W 0,P. Sathasivam,Erode,literature,5.5,12:00:00
993,"Monday, September 01, 1902",Internet,28 N 39,77 E 13,John J. Anthony,"74 W 0, 40 N 42",literature,-5.0,14:00:00
994,"Monday, January 01, 1951",Unknown,18 N 58,72 E 50,Madhu Kishwar,Delhi,literature,5.5,12:00:00
995,"Saturday, December 21, 1963",Unknown,18 N 58,72 E 50,Sanjiv Bhatt,Mumbai,literature,5.5,12:00:00
996,"Friday, February 09, 1962",Unknown,40 N 38,73 W 56,Teesta Setalvad,Mumbai,literature,5.5,12:00:00
997,"Saturday, August 21, 1937",Internet,50 N 25,7 E 24,Robert Anthony Stone,"73 W 56, 40 N 38",literature,-5.0,02:31:59
998,"Monday, August 16, 1920",Internet,16 N 45,96 E 20,Charles Bukowski,"7 E 24, 50 N 25",literature,0.0,10:00:00
999,"Thursday, January 10, 1929",Unknown,39 N 15,77 W 37,Fali Sam Nariman,Yangon,literature,6.0,12:00:00
1000,"Friday, August 14, 1925",Internet,40 N 45,82 W 29,Russell Baker,"77 W 37, 39 N 15",literature,-5.0,23:50:00
1001,"Thursday, August 14, 1924",Internet,41 N 35,93 W 37,Lee Adams,"82 W 29, 40 N 45",literature,-5.0,16:23:00
1002,"Saturday, August 13, 1938",Internet,52 N 57,0 E 30,Steve Brown,"93 W 37, 41 N 35",literature,-6.0,07:15:00
1003,"Wednesday, August 05, 1914",Internet,41 N 13,80 W 29,Anthony West,"0 E 30, 52 N 57",literature,0.0,00:05:00
1004,"Monday, July 24, 1916",Internet,42 N 6,72 W 34,John Mcdonald,"80 W 29, 41 N 13",literature,-5.0,20:05:00
1005,"Wednesday, July 12, 1972",Internet,35 N 3,78 W 51,Travis Best,"72 W 34, 42 N 6",literature,-5.0,17:25:00
1006,"Thursday, July 05, 1945",Internet,34 N 39,77 W 20,Michael Blake,"78 W 51, 35 N 3",literature,-5.0,19:37:00
1007,"Sunday, June 17, 1945",Internet,36 N 20,93 W 26,Art Bell,"77 W 20, 34 N 39",literature,-5.0,12:23:00
1008,"Saturday, February 18, 1922",Internet,40 N 42,74 W 0,Helen Gurley Brown,"93 W 26, 36 N 20",literature,-6.0,03:00:00
1009,"Wednesday, January 27, 1965",Internet,55 N 29,4 W 37,Carter Cooper,"74 W 0, 40 N 42",literature,-5.0,18:07:00
1010,"Thursday, January 25, 1759",Internet,40 N 53,80 W 51,Robert Burns,"4 W 37, 55 N 29",literature,-0.25,07:00:00
1011,"Sunday, January 18, 1920",Internet,32 N 13,110 W 54,Robert Schwartz,"80 W 51, 40 N 53",literature,-5.0,09:00:00
1012,"Monday, January 13, 1947",Internet,48 N 50,2 E 20,Diane Williams,"110 W 54, 32 N 13",literature,-7.0,16:37:59
1013,"Thursday, January 09, 1908",Web,25 N 37,85 E 12,Simone De Beauvoir,Paris,literature,1.0,04:00:00
1014,"Thursday, December 23, 1666",765 Notable Horoscopes,37 N 49,122 W 15,Guru Gobind Singh,Patna,literature,5.5,01:20:00
1015,"Tuesday, January 07, 1919",Internet,51 N 25,0 E 4,Robert Duncan,"122 W 15, 37 N 49",literature,-8.0,07:25:00
1016,"Wednesday, January 06, 1915",Internet,29 S 12,26 E 7,Alan Watts,"0 E 4, 51 N 25",literature,0.0,06:20:00
1017,"Sunday, January 03, 1892",Internet,55 N 35,4 W 29,J.r.r. Tolkien,"26 E 7, 29 S 12",literature,1.75,21:00:00
1018,"Thursday, December 31, 1829",Internet,41 N 28,81 W 40,Alexander Smith,"4 W 29, 55 N 35",literature,-0.25,23:58:59
1019,"Tuesday, December 26, 1933",Internet,40 N 42,74 W 0,John J. Stanley,"81 W 40, 41 N 28",literature,-5.0,14:00:00
1020,"Monday, December 26, 1921",Internet,30 N 21,88 W 20,Steve Allen,"74 W 0, 40 N 42",literature,-5.0,07:00:00
1021,"Wednesday, December 25, 1946",Internet,40 N 2,80 W 3,Jimmy Buffet,"88 W 20, 30 N 21",literature,-6.0,01:08:00
1022,"Friday, December 19, 1930",Internet,31 N 25,90 W 25,Jan Bone,"80 W 3, 40 N 2",literature,-5.0,19:10:00
1023,"Saturday, December 18, 1948",Internet,41 N 52,87 W 39,George Johnson,"90 W 25, 31 N 25",literature,-6.0,19:14:59
1024,"Sunday, December 16, 1928",Internet,53 N 46,2 W 41,Philip K. Dick,"87 W 39, 41 N 52",literature,-6.0,12:15:00
1025,"Friday, December 16, 1859",Internet,21 N 7,82 E 46,Francis Thompson,"2 W 41, 53 N 46",literature,0.0,07:25:00
1026,"Friday, March 15, 1963",Unknown,37 N 46,122 W 25,Tarun Tejpal,Army Household,literature,5.5,12:00:00
1027,"Thursday, December 14, 1916",Internet,36 N 46,80 W 43,Shirley Jackson,"122 W 25, 37 N 46",literature,-8.0,07:15:00
1028,"Sunday, December 14, 1919",Internet,37 N 14,121 W 59,Ima Roberts,"80 W 43, 36 N 46",literature,-5.0,14:30:00
1029,"Monday, December 13, 1915",Internet,47 N 35,1 E 19,Ross Macdonald,"121 W 59, 37 N 14",literature,-8.0,03:10:00
1030,"Tuesday, December 12, 1916",Internet,48 N 52,2 E 20,Michel De Saint-pierre,"1 E 19, 47 N 35",literature,0.0,20:00:00
1031,"Sunday, December 07, 1862",Internet,49 N 53,28 E 35,Paul Adam,"2 E 20, 48 N 52",literature,0.0,17:00:00
1032,"Thursday, December 03, 1857",Internet,26 N 42,80 W 3,Joseph Conrad,"28 E 35, 49 N 53",literature,2.0,15:30:00
1033,"Monday, December 03, 1951",Internet,39 N 28,91 W 46,John Rice,"80 W 3, 26 N 42",literature,-5.0,02:00:00
1034,"Monday, November 30, 1835",Internet,40 N 42,74 W 0,Mark Twain,"91 W 46, 39 N 28",literature,-6.0,04:45:00
1035,"Wednesday, November 27, 1957",Internet,52 N 32,1 W 28,Caroline Kennedy,"74 W 0, 40 N 42",literature,-5.0,08:15:00
1036,"Monday, November 22, 1819",Internet,48 N 52,2 E 20,George Eliot,"1 W 28, 52 N 32",literature,0.0,05:00:00
1037,"Sunday, November 21, 1694",Internet,51 N 29,0 E 10,Voltaire,"2 E 20, 48 N 52",literature,0.0,17:30:00
1038,"Thursday, November 19, 1896",Internet,57 N 10,2 W 4,William Tucker,"0 E 10, 51 N 29",literature,0.0,08:18:59
1039,"Tuesday, November 18, 1924",Internet,42 N 3,87 W 40,Alexander Stuart,"2 W 4, 57 N 10",literature,0.0,11:00:00
1040,"Friday, November 18, 1927",Internet,42 N 40,72 W 1,Ann E. Parker,"87 W 40, 42 N 3",literature,-6.0,10:27:59
1041,"Sunday, November 17, 1940",Internet,24 N 2,74 E 47,David Hayward,"72 W 1, 42 N 40",literature,-5.0,22:50:00
1042,"Sunday, October 22, 1922",Unknown,55 N 57,3 W 12,Kripalu Maharaj,Mangarh (Pratapgarh),literature,5.5,12:00:00
1043,"Wednesday, November 13, 1850",Internet,40 N 38,73 W 56,Robert Louis Stevenson,"3 W 12, 55 N 57",literature,0.0,13:30:00
1044,"Monday, November 08, 1897",Internet,41 N 52,87 W 39,Dorothy Day,"73 W 56, 40 N 38",literature,-5.0,18:50:00
1045,"Thursday, November 01, 1917",Internet,42 N 21,71 W 6,Richard Lewis,"87 W 39, 41 N 52",literature,-6.0,11:50:00
1046,"Saturday, October 31, 1925",Internet,29 N 19,96 W 6,Robin Moore,"71 W 6, 42 N 21",literature,-5.0,19:30:00
1047,"Saturday, October 31, 1931",Internet,55 N 45,37 E 35,Dan Rather,"96 W 6, 29 N 19",literature,-6.0,18:12:59
1048,"Tuesday, October 30, 1821",Web,35 S 42,174 E 18,Fyodor Dostoevsky,Moscow,literature,3.0,09:47:00
1049,"Saturday, October 28, 1933",Internet,55 N 3,3 W 16,Jean Writer,"174 E 18, 35 S 42",literature,12.0,06:29:59
1050,"Tuesday, October 21, 1828",Internet,51 N 20,0 E 5,David Younger,"3 W 16, 55 N 3",literature,-0.25,03:00:00
1051,"Friday, September 21, 1866",The Times Select Horoscopes,33 N 46,118 W 10,H. G. Wells,Bromley,literature,0.0,15:30:00
1052,"Thursday, October 19, 1922",Internet,39 N 4,94 W 34,Jack Anderson,"118 W 10, 33 N 46",literature,-8.0,22:17:59
1053,"Monday, October 19, 1936",Internet,12 N 18,76 E 39,Sylvia Brown,"94 W 34, 39 N 4",literature,-6.0,14:00:00
1054,"Sunday, September 15, 1861",765 Notable Horoscopes,20 N 41,78 E 40,Visvesvaraya,"76 E 39, 12 N 18",literature,5.5,12:45:00
1055,"Wednesday, September 11, 1895",765 Notable Horoscopes,47 N 15,6 E 2,Vinoba Bhave,Wardha,literature,5.5,15:05:00
1056,"Friday, February 26, 1802",765 Notable Horoscopes,54 N 1,37 E 32,Victor Hugo,"6 E 2, 47 N 15",literature,2.0,23:55:52
1057,"Tuesday, September 09, 1828",765 Notable Horoscopes,43 N 45,42 E 43,Leo Tolstoy-1,"37 E 32, 54 N 1",literature,3.0,01:10:00
1058,"Wednesday, December 11, 1918",The Times Select Horoscopes,40 N 42,74 W 0,Aleksandr Solzhenitsyn,Kislovodska,literature,4.0,08:59:00
1059,"Friday, November 09, 1934",765 Notable Horoscopes,46 N 12,6 E 9,Carl Sagan,New york,literature,-5.0,17:05:00
1060,"Tuesday, June 28, 1712",765 Notable Horoscopes,29 N 23,79 E 27,Jean-jacques Rousseau,Geneva,literature,1.0,14:00:00
1061,"Tuesday, August 20, 1940",765 Notable Horoscopes,53 N 20,6 W 18,Rajendra K. Pachauri,Nainital,literature,5.5,13:00:00
1062,"Monday, October 16, 1854",The Times Select Horoscopes,36 N 4,79 W 46,Oscar Wilde,Dublin,literature,0.0,02:38:00
1063,"Thursday, September 11, 1862",765 Notable Horoscopes,59 N 20,18 E 3,O. Henry,"79 W 46, 36 N 4",literature,-5.25,21:30:00
1064,"Monday, October 21, 1833",765 Notable Horoscopes,22 N 30,88 E 20,Alfred Nobel,Stockholm,literature,1.0,06:54:00
1065,"Sunday, October 19, 1924",765 Notable Horoscopes,34 N 43,87 W 42,Nirendranath Chakravarty,Calcutta,literature,5.5,19:40:00
1066,"Sunday, June 27, 1880",765 Notable Horoscopes,18 N 34,73 E 58,Helen Keller,"87 W 42, 34 N 43",literature,-5.75,03:30:00
1067,"Wednesday, April 11, 1827",The Times Select Horoscopes,51 N 3,1 W 20,Jyotirao Phule,Pune,literature,5.5,19:00:00
1068,"Saturday, December 16, 1775",765 Notable Horoscopes,26 N 15,66 E 25,Jane Austen,"1 W 20, 51 N 3",literature,0.0,23:00:00
1069,"Thursday, April 17, 1941",Finance And Profession (Raj Kumar),26 N 15,68 E 20,Asaram Bapu,Nawabshah,literature,5.0,12:00:00
1070,"Thursday, April 17, 1941",765 Notable Horoscopes,41 N 52,87 W 39,Asaram Bapu-1,"68 E 20 , 26 N 15",literature,5.5,12:00:00
1071,"Wednesday, October 09, 1940",Internet,42 N 6,72 W 34,Susan Lucas,"87 W 39, 41 N 52",literature,-6.0,14:00:00
1072,"Friday, October 09, 1942",Internet,18 N 58,72 E 50,Michael S. Palmer,"72 W 34, 42 N 6",literature,-5.0,16:53:59
1073,"Friday, October 06, 1978",Unknown,39 N 34,95 W 6,Amit Varma,Mumbai,literature,5.5,12:00:00
1074,"Saturday, July 24, 1897",Internet,28 N 28,77 E 42,Amelia Earhart,"95 W 6, 39 N 34",literature,-6.0,23:30:00
1075,"Saturday, August 22, 1891",Lagna Phal (Garg),24 N 30,89 E 33,Acharya Chatursen,Sikandrabad,literature,5.5,19:30:00
1076,"Friday, May 24, 1889",765 Notable Horoscopes,30 N 15,66 E 55,Kazi Nazrul Islam,"89 E 33, 24 N 30",literature,5.5,10:20:00
1077,"Sunday, December 12, 1948",765 Notable Horoscopes,50 N 7,8 E 40,Iftikhar Muhammad Chaudhry,Quetta,literature,5.0,10:59:00
1078,"Thursday, August 28, 1749",765 Notable Horoscopes,40 N 42,74 W 0,Johann Wolfgang Von Goethe,Frankfurt,literature,1.0,00:28:00
1079,"Saturday, October 03, 1925",Web,43 N 6,77 W 26,Gore Vidal,West Point,literature,-5.0,10:00:00
1080,"Friday, October 03, 1884",Unknown,35 N 35,82 W 32,Paul Foster Case,"77 W 26, 43 N 6",literature,-5.0,11:00:00
1081,"Wednesday, October 03, 1900",Unknown,34 N 3,118 W 15,Thomas Wolfe,"82 W 32, 35 N 35",literature,-5.0,10:30:00
1082,"Saturday, October 02, 1937",Unknown,51 N 46,0 E 35,Joanna Davis,"118 W 15, 34 N 3",literature,-8.0,00:01:00
1083,"Sunday, October 02, 1904",Unknown,21 N 31,86 E 59,Graham Greene,"0 E 35, 51 N 46",literature,0.0,10:19:59
1084,"Friday, January 13, 1843",765 Notable Horoscopes,38 N 38,90 E 12,Fakir Mohan Senapati,Balasore,literature,5.5,12:00:00
1085,"Wednesday, September 26, 1888",The Times Select Horoscopes,55 N 57,3 W 12,T. S. Eliot,St. Louis,literature,-5.0,07:45:00
1086,"Sunday, May 22, 1859",765 Notable Horoscopes,24 N 5,84 E 58,Arthur Conan Doyle,Edinburgh,literature,0.0,05:30:00
1087,"Wednesday, September 23, 1908",Kundli Sangraha (Tendulkar),18 N 58,72 E 50,Ramdhari Singh Dinkar,Simriya,literature,5.5,12:00:00
1088,"Wednesday, January 07, 1948",765 Notable Horoscopes,40 N 53,73 W 46,Shobhaa De,Mumbai,literature,5.5,07:21:00
1089,"Sunday, October 01, 1893",Internet,50 N 28,3 W 29,Faith Baldwin,"73 W 46, 40 N 53",literature,-5.0,08:00:00
1090,"Monday, September 15, 1890",Web,47 N 14,38 E 55,Agatha Christie,"3 W 29, 50 N 28",literature,0.0,04:00:00
1091,"Thursday, January 19, 1860",The Times Select Horoscopes,11 N 56,79 E 29,Anton Chekhov,Togenrogue,literature,4.0,07:15:00
1092,"Sunday, May 20, 1894",The Times Select Horoscopes,22 N 30,88 E 20,Chandrashekarendra Saraswati,Villupuram,literature,5.5,13:16:00
1093,"Tuesday, June 26, 1838",765 Notable Horoscopes,22 N 54,88 E 26,Bankim Chandra Chattopadhyay-1,Calcutta,literature,5.5,20:42:00
1094,"Wednesday, June 27, 1838",Kundli Sangraha (Tendulkar),25 N 57,81 E 50,Bankim Chandra Chattopadhyay,Naihati,literature,5.5,20:46:16
1095,"Wednesday, November 27, 1907",Kundli Sangraha (Tendulkar),22 N 30,88 E 20,Harivanshrai Bachchan,Allahabad,literature,5.5,05:30:00
1096,"Thursday, August 15, 1872",Lagna Phal (Garg),40 N 42,74 W 0,Sri Aurobindo,Calcutta,literature,5.5,05:15:00
1097,"Sunday, September 28, 1902",Unknown,22 N 30,88 E 20,Ed Sullivan,"74 W 0, 40 N 42",literature,-5.0,03:29:59
1098,"Friday, May 01, 1896",The Times Select Horoscopes,34 N 2,71 E 37,Anandamayi Ma,Calcutta,literature,5.5,03:45:00
1099,"Tuesday, December 12, 1905",Kundli Sangraha (Tendulkar),32 N 10,74 E 12,Mulk Raj Anand,Peshawar,literature,5.5,04:28:22
1100,"Sunday, August 31, 1919",765 Notable Horoscopes,28 N 42,77 E 11,Amrita Pritam-1,Gujranwala,literature,5.0,13:49:00
1101,"Monday, September 01, 1919",Astrology of Professions (Pathak),38 N 37,90 W 11,Amrita Pritam,Gujranwala,literature,5.5,01:30:00
1102,"Wednesday, September 26, 1888",Web,42 N 21,71 W 4,T.s. Eliot,St. Louis MO,literature,-6.0,07:45:00
1103,"Tuesday, September 26, 1961",Internet,21 N 5,71 E 48,Ted Kennedy Jr,"71 W 4, 42 N 21",literature,-5.0,04:04:59
1104,"Wednesday, September 25, 1946",The Times Select Horoscopes,34 N 28,89 W 0,Morari Bapu,Mahuva,literature,5.5,06:00:00
1105,"Saturday, September 25, 1897",Internet,44 N 56,93 W 4,William Faulkner,"89 W 0, 34 N 28",literature,-6.0,22:30:00
1106,"Thursday, September 24, 1896",Unknown,53 N 32,9 E 59,F.scott Fitzgerald,"93 W 4, 44 N 56",literature,-6.25,15:30:00
1107,"Saturday, July 17, 1954",Web,33 N 46,118 W 10,Angela Merkel,Hamburg,literature,1.0,18:00:00
1108,"Thursday, September 21, 1922",Unknown,51 N 20,0 E 5,Robert Fisher,"118 W 10, 33 N 46",literature,-8.0,10:50:00
1109,"Friday, September 21, 1866",The Times Select Horoscopes,43 N 39,70 W 15,H. G. Wells,Bromley,literature,0.0,15:30:00
1110,"Sunday, September 21, 1947",Web,51 N 24,0 E 2,Stephen King,"70 W 15, 43 N 39",literature,-5.0,01:30:00
1111,"Friday, September 21, 1866",Unknown,39 N 17,76 E 36,H.g. Wells,"0 E 2, 51 N 24",literature,0.0,16:30:00
1112,"Friday, September 20, 1878",Web,51 N 30,0 W 5,Upton Sinclair,Baltimore MD,literature,-4.0,09:00:00
1113,"Monday, November 04, 1957",Unknown,26 N 46,82 E 8,Tony Abbott,London,literature,0.0,12:00:00
1114,"Monday, September 19, 1927",Unknown,28 N 54,76 E 38,Kunwar Narayan,Faizabad,literature,5.5,12:00:00
1115,"Saturday, September 19, 1936",Unknown,27 N 36,78 E 2,Murari Lal Sharma Neeras,Koka (Rohtak),literature,5.5,12:00:00
1116,"Tuesday, September 18, 1906",Lagna Phal (Garg),22 N 30,88 E 20,Kaka Hathrasi,Hathras,literature,5.5,00:00:00
1117,"Wednesday, July 11, 1956",Unknown,39 N 57,75 W 9,Amitav Ghosh,Calcutta,literature,5.5,12:00:00
1118,"Sunday, September 12, 1897",Internet,22 N 54,88 E 24,Walter Brown Gibson,"75 W 9, 39 N 57",literature,-5.0,14:15:00
1119,"Monday, September 11, 1876",The Times Select Horoscopes,53 N 0,1 W 17,Sharat Chandra Chattopadhyay,Hooghly,literature,5.5,17:15:00
1120,"Friday, September 11, 1885",Unknown,51 N 13,37 E 38,D.h. Lawrence,"1 W 17, 53 N 0",literature,0.0,09:44:59
1121,"Tuesday, September 09, 1828",Web,25 N 20,83 E 0,Leo Tolstoy,Tula,literature,3.0,22:52:00
1122,"Monday, September 09, 1850",Kundli Sangraha (Tendulkar),53 N 29,2 W 14,Bharatendu Harishchandra,Varanasi,literature,5.5,04:35:00
1123,"Friday, September 07, 1900",Internet,24 N 12,72 E 29,Taylor Caldwell,"2 W 14, 53 N 29",literature,0.0,20:37:00
1124,"Thursday, May 14, 1981",Unknown,23 N 17,77 E 28,Pranav Mistry,Palanpur,literature,5.5,12:00:00
1125,"Sunday, February 03, 1963",Unknown,54 N 35,5 W 54,Raghuram Rajan,Bhopal,literature,5.5,12:00:00
1126,"Tuesday, September 05, 1843",Unknown,54 N 46,6 W 33,James Coats,"5 W 54, 54 N 35",literature,-0.5,10:00:00
1127,"Thursday, April 13, 1939",Unknown,33 N 46,118 W 10,Seamus Heaney,"Castledawson, United Kingdom",literature,1.0,12:00:00
1128,"Friday, September 01, 1916",Internet,41 N 50,87 W 39,Paul L. Higgins,"118 W 10, 33 N 46",literature,-8.0,03:29:59
1129,"Wednesday, September 01, 1875",Internet,26 N 32,80 E 30,Edgar Rice Burroughs,"87 W 39, 41 N 50",literature,-5.75,21:00:00
1130,"Sunday, August 30, 1903",Shri Vishwa Vijay-Panchangam,51 N 29,0 E 10,Bhagwati Charan Verma,Unnao,literature,5.5,14:59:50
1131,"Wednesday, August 30, 1797",Unknown,40 N 38,73 W 56,Mary Shelley,"0 E 10, 51 N 29",literature,0.0,23:19:59
